country,doc_number,kind,date
US,20200000151,A1,20200102
US,20200000152,A1,20200102
US,20200000153,A1,20200102
US,20200000154,A1,20200102
US,20200000155,A1,20200102
US,20200000156,A1,20200102
US,20200000157,A1,20200102
US,20200000158,A1,20200102
US,20200000159,A1,20200102
US,20200000160,A1,20200102
US,20200000161,A1,20200102
US,20200000162,A1,20200102
US,20200000163,A1,20200102
US,20200000164,A1,20200102
US,20200000165,A1,20200102
US,20200000166,A1,20200102
US,20200000167,A1,20200102
US,20200000168,A1,20200102
US,20200000169,A1,20200102
US,20200000170,A1,20200102
US,20200000171,A1,20200102
US,20200000172,A1,20200102
US,20200000173,A1,20200102
US,20200000174,A1,20200102
US,20200000175,A1,20200102
US,20200000176,A1,20200102
US,20200000177,A1,20200102
US,20200000178,A1,20200102
US,20200000179,A1,20200102
US,20200000180,A1,20200102
US,20200000181,A1,20200102
US,20200000182,A1,20200102
US,20200000183,A1,20200102
US,20200000184,A1,20200102
US,20200000185,A1,20200102
US,20200000186,A1,20200102
US,20200000187,A1,20200102
US,20200000188,A1,20200102
US,20200000189,A1,20200102
US,20200000190,A1,20200102
US,20200000191,A1,20200102
US,20200000192,A1,20200102
US,20200000193,A1,20200102
US,20200000194,A1,20200102
US,20200000195,A1,20200102
US,20200000196,A1,20200102
US,20200000197,A1,20200102
US,20200000198,A1,20200102
US,20200000199,A1,20200102
US,20200000200,A1,20200102
US,20200000201,A1,20200102
US,20200000202,A1,20200102
US,20200000203,A1,20200102
US,20200000204,A1,20200102
US,20200000205,A1,20200102
US,20200000206,A1,20200102
US,20200000207,A1,20200102
US,20200000208,A1,20200102
US,20200000209,A1,20200102
US,20200000210,A1,20200102
US,20200000211,A1,20200102
US,20200000212,A1,20200102
US,20200000213,A1,20200102
US,20200000214,A1,20200102
US,20200000215,A1,20200102
US,20200000216,A1,20200102
US,20200000217,A1,20200102
US,20200000218,A1,20200102
US,20200000219,A1,20200102
US,20200000220,A1,20200102
US,20200000221,A1,20200102
US,20200000222,A1,20200102
US,20200000223,A1,20200102
US,20200000224,A1,20200102
US,20200000225,A1,20200102
US,20200000226,A1,20200102
US,20200000227,A1,20200102
US,20200000228,A1,20200102
US,20200000229,A1,20200102
US,20200000230,A1,20200102
US,20200000231,A1,20200102
US,20200000232,A1,20200102
US,20200000233,A1,20200102
US,20200000234,A1,20200102
US,20200000235,A1,20200102
US,20200000236,A1,20200102
US,20200000237,A1,20200102
US,20200000238,A1,20200102
US,20200000239,A1,20200102
US,20200000240,A1,20200102
US,20200000241,A1,20200102
US,20200000242,A1,20200102
US,20200000243,A1,20200102
US,20200000244,A1,20200102
US,20200000245,A1,20200102
US,20200000246,A1,20200102
US,20200000247,A1,20200102
US,20200000248,A1,20200102
US,20200000249,A1,20200102
US,20200000250,A1,20200102
US,20200000251,A1,20200102
US,20200000252,A1,20200102
US,20200000253,A1,20200102
US,20200000254,A1,20200102
US,20200000255,A1,20200102
US,20200000256,A1,20200102
US,20200000257,A1,20200102
US,20200000258,A1,20200102
US,20200000259,A1,20200102
US,20200000260,A1,20200102
US,20200000261,A1,20200102
US,20200000262,A1,20200102
US,20200000263,A1,20200102
US,20200000264,A1,20200102
US,20200000265,A1,20200102
US,20200000266,A1,20200102
US,20200000267,A1,20200102
US,20200000268,A1,20200102
US,20200000269,A1,20200102
US,20200000270,A1,20200102
US,20200000271,A1,20200102
US,20200000272,A1,20200102
US,20200000273,A1,20200102
US,20200000274,A1,20200102
US,20200000275,A1,20200102
US,20200000276,A1,20200102
US,20200000277,A1,20200102
US,20200000278,A1,20200102
US,20200000279,A1,20200102
US,20200000280,A1,20200102
US,20200000281,A1,20200102
US,20200000282,A1,20200102
US,20200000283,A1,20200102
US,20200000284,A1,20200102
US,20200000285,A1,20200102
US,20200000286,A1,20200102
US,20200000287,A1,20200102
US,20200000288,A1,20200102
US,20200000289,A1,20200102
US,20200000290,A1,20200102
